gene,MII,Zygote,l2cell,4cell,8cell,Morula,ICM,TE,e2cell,m2cell,mES,TSC
Ptdss2,1.63517640049935,4.13327969557355,3.29309379800738,6.59789940842683,5.74748679424246,5.15679487936008,4.23760716454276,4.65549877179699,3.61340859890916,6.62287034810069,4.38982944298414,3.95947187472857
Pten,4.08410145558036,4.39408169721207,8.39038030988878,7.74740358995482,7.72899340956512,6.28090449460842,6.04422121023886,3.61434054680276,4.87980397867616,6.12368547952467,5.5663152190174,5.32956690411414
Pter,6.55350781641649,6.46887606317234,4.08283603100911,1.496394772075,2.72211366878567,2.74460236407631,1.40069379114685,1.93148255569202,3.61793507851326,2.40565178224514,3.56209241987192,3.12417598972766
Ptf1a,0,0,0,0,0,0,0,0,0,0,0,0
Ptgdr,0,0.137751038742452,0,0,0,0,0,0,0,0.0371552467341823,0,0
Ptgds,0.0257910431693418,0,0,0,0,0.0252936777135689,0.293749752232202,0,0,1.17922995171657,0.104598865736977,0
Ptger1,0.064158746930272,0.054661038183982,0,0,0.479429037822745,2.0202759056441,0.224309697288615,0.482040454600401,0,0.161715557204686,1.21054013343586,2.43319934823636
Ptger2,0.0312215271101088,0,0,0.0591000974091296,0.0258890741907468,0,0,0,0.0127604390674946,0.148255843306333,0.0928572180562145,0
Ptger3,2.1503229760756,1.08099329917322,0,0,0,0.0844379826936534,0,0,0.0120272556418605,0.0930556389025314,0.0144233839190575,0.0134600239588644
Ptger4,3.23745387974978,2.7148164049412,1.35264239844635,0,0,0.240975258436846,0.259084908556415,0,1.15959317029634,3.77705341258474,1.40884783752847,0.571029687373619
Ptges,0.217874866379467,0.766093106210402,1.03017251667585,0.903352054208784,0.506676423080938,6.52881349289205,4.63105657677551,8.36126774028147,0.426876622655351,1.68061200256775,4.50287181257514,3.58639896458432
Ptges2,1.35982516559063,3.40859332186778,1.89330584069932,2.04661828674393,4.64433603443766,4.82418080776696,3.64501128153636,5.06023152729976,2.76290901357125,1.75889092220555,4.47243436946945,4.03309214546067
Ptges3,4.24267957158876,4.87291083709675,6.56805505029097,7.45946158922422,7.31482430093685,5.98690265337677,6.008890102971,1.72760539356367,9.30853731434047,10.1664629797486,6.34646690932899,5.85975694666165
Ptgfr,0.053859353037233,0.200731575996647,0,0.0215027442763929,0.0512901884888294,0,0,0,0,0,0.218476596978072,0
Ptgfrn,2.98006628186864,1.35866504535526,1.20829133587658,1.00025150237882,0.0854854496887221,1.14396490073286,3.81785496763232,5.45635092246896,0.97185721946426,0.607369711002714,6.45156504748007,6.71388773980215
Ptgir,0,0,0,0.107320824624973,0,0,0,0,0.0598080950699392,0.00862549274186804,0.99759240776163,0.0677640503521108
Ptgis,0.288910855336049,1.27104619481968,1.0847998393067,2.32063328625601,4.86352331573145,5.18746111954991,4.74298441347276,3.60175707197876,2.49555838624341,1.47357193663632,3.44706379951622,1.43281983833547
Ptgr1,0.226941251711662,1.56373049755667,0,0.59616815265129,2.84143536081295,5.65284187901802,6.82082583290197,7.51327885392547,1.68228584314531,1.65130112452192,4.2808665247432,3.97903197208745
Ptgr2,0.111650100573774,0,0.624507150385887,0.310816912157142,1.15808230642421,2.6368762555574,2.71000504323129,2.92221790232196,0.782299019845594,0.889997922558343,3.17527478224656,3.57553570342863
Ptgs1,0,0,0,0.038107291396646,0,0,0,0,0.0888384058430526,0,2.32919168759685,0.0475662334550869
Ptgs2,0.785926587340836,0.909410495822185,0,0,0.596362988271478,0,0,0,0.324430334884169,0.215278756893969,5.77810862819487,1.09343380701098
Pth,0,0,0,0,0,0,0,0,0,1.22167109369186,0,0
Pth1r,0.126418962985651,0.0224051054743511,0,0,0,0.267483970734166,0.713500836279251,0.0728182272871393,0.454989432622262,0,1.81058995909832,4.23825399572236
Pth2,0,0,0,0,0.193948045342624,0,0,0,0,0,0,0
Pth2r,0.111496346266079,0,0,0.0240661447254291,0,0.0335138599021144,0,0,0.390312456528263,0.391474502180538,0,0
Pthlh,2.48303838984633,1.62111296498305,0.711783716968093,0,0,0.00626306098758988,0,0,3.19370295126035,0.109345298675029,0,0.023667227193118
Ptk2,5.38014733901545,5.05705670186606,5.25447546270119,3.34710790504158,2.93985773763816,1.89578167390799,3.4356669754418,3.81538190778276,5.68018619906746,5.55009225800164,5.57506738090854,6.08562739909616
Ptk2b,0.883112249340916,0.980829000590816,0,0.0252567337775489,0.0201000470309182,0.583996967397713,0.312110428106577,1.4175264477727,2.54402723730309,1.18342592034315,3.243868733549,3.29741024243059
Ptk6,0,0,0,0,0,0,0,0.985003336673431,0.0918818279460151,0,0.0245341989522217,0
Ptk7,0,0,0,0.145702588697228,0.606120036996772,0.349732580443877,0.864605041745433,2.3805010915451,0.313680709856952,0.318906099285872,7.70916531403779,7.34654218588856
Ptma,4.49453763404586,4.93048517221635,7.26365192960158,8.41437706191237,9.59312539930038,10.7716730740125,10.3647429221803,9.50776895649407,6.99357473487797,11.3130933163889,9.81712778653512,8.61396378315167
Ptms,0.68080641090859,1.9039840241342,0.789252589765467,1.44066769776438,1.85255081489768,2.83988972089365,2.02510455018164,5.40344490170211,1.9593571984669,1.97382208103776,6.78342056899403,7.07495177143451
Ptn,0.0205165158460619,0,0.134178685055727,0.203899908219564,0.0332092779086009,0,0,0,0,0.511195091623736,2.84769248766297,0
Ptov1,5.72066432962053,4.48993816764846,5.90958337199176,1.08531431657608,1.60430658393574,3.10545697089482,5.13009623058815,4.72697475139296,4.00086704491475,3.92052769831159,5.38943841404238,5.01442144169805
